data,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+
2020-10-02T00:00:00,6.142857142857143,10.285714285714286,11.714285714285714,13.857142857142858,14.285714285714286,19.142857142857142,14.285714285714286,9.428571428571429,6.0,0.8571428571428571
2020-10-03T00:00:00,6.571428571428571,10.285714285714286,13.571428571428571,13.714285714285714,15.571428571428571,20.0,13.571428571428571,10.857142857142858,6.714285714285714,1.0
2020-10-04T00:00:00,7.285714285714286,12.857142857142858,14.857142857142858,14.714285714285714,16.714285714285715,21.0,14.571428571428571,10.714285714285714,6.857142857142857,0.8571428571428571
2020-10-05T00:00:00,8.428571428571429,14.714285714285714,16.571428571428573,15.857142857142858,19.857142857142858,22.571428571428573,16.285714285714285,13.142857142857142,6.428571428571429,0.8571428571428571
2020-10-06T00:00:00,9.857142857142858,16.142857142857142,20.0,19.428571428571427,20.714285714285715,25.571428571428573,17.428571428571427,16.0,7.571428571428571,1.0
2020-10-07T00:00:00,10.285714285714286,17.142857142857142,22.0,21.428571428571427,21.142857142857142,26.142857142857142,19.0,15.428571428571429,8.285714285714286,1.2857142857142858
2020-10-08T00:00:00,10.571428571428571,17.571428571428573,21.285714285714285,24.142857142857142,21.857142857142858,25.0,19.857142857142858,17.857142857142858,8.285714285714286,1.4285714285714286
2020-10-09T00:00:00,11.571428571428571,18.285714285714285,23.428571428571427,26.285714285714285,24.285714285714285,27.142857142857142,21.428571428571427,19.857142857142858,8.285714285714286,1.8571428571428572
2020-10-10T00:00:00,12.285714285714286,19.714285714285715,25.142857142857142,27.0,23.285714285714285,28.285714285714285,22.714285714285715,18.857142857142858,9.285714285714286,1.7142857142857142
2020-10-11T00:00:00,12.428571428571429,20.428571428571427,27.428571428571427,27.142857142857142,25.857142857142858,29.714285714285715,23.571428571428573,20.714285714285715,10.142857142857142,1.7142857142857142
2020-10-12T00:00:00,12.285714285714286,19.857142857142858,27.857142857142858,29.142857142857142,27.0,30.142857142857142,24.571428571428573,19.285714285714285,10.714285714285714,1.7142857142857142
2020-10-13T00:00:00,12.857142857142858,21.142857142857142,29.428571428571427,28.285714285714285,30.285714285714285,31.857142857142858,26.142857142857142,19.0,11.285714285714286,2.142857142857143
2020-10-14T00:00:00,15.0,22.428571428571427,32.857142857142854,31.428571428571427,35.857142857142854,37.57142857142857,29.571428571428573,22.0,12.142857142857142,2.2857142857142856
2020-10-15T00:00:00,16.857142857142858,27.857142857142858,40.142857142857146,35.0,45.0,47.142857142857146,35.42857142857143,24.0,13.714285714285714,1.8571428571428572
2020-10-16T00:00:00,17.857142857142858,30.857142857142858,47.142857142857146,38.0,49.42857142857143,51.714285714285715,41.0,25.428571428571427,15.428571428571429,1.4285714285714286
2020-10-17T00:00:00,17.285714285714285,31.857142857142858,49.285714285714285,42.714285714285715,54.142857142857146,54.142857142857146,45.42857142857143,29.428571428571427,14.571428571428571,1.7142857142857142
2020-10-18T00:00:00,18.142857142857142,32.0,54.142857142857146,48.0,56.57142857142857,57.285714285714285,49.857142857142854,28.571428571428573,16.428571428571427,1.5714285714285714
2020-10-19T00:00:00,19.571428571428573,35.57142857142857,58.42857142857143,51.285714285714285,61.285714285714285,63.857142857142854,53.857142857142854,30.714285714285715,17.0,1.5714285714285714
2020-10-20T00:00:00,18.571428571428573,36.42857142857143,59.42857142857143,52.714285714285715,63.42857142857143,66.28571428571429,54.857142857142854,32.142857142857146,16.857142857142858,1.2857142857142858
