data,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+
2020-12-21T00:00:00,47.714285714285715,68.57142857142857,110.42857142857143,109.0,122.71428571428571,128.57142857142858,89.71428571428571,58.714285714285715,35.42857142857143,6.142857142857143
2020-12-22T00:00:00,43.714285714285715,62.857142857142854,102.28571428571429,100.0,114.85714285714286,118.57142857142857,84.57142857142857,57.714285714285715,34.0,5.428571428571429
2020-12-23T00:00:00,41.857142857142854,65.71428571428571,105.28571428571429,105.28571428571429,118.14285714285714,122.57142857142857,87.71428571428571,59.42857142857143,36.142857142857146,6.428571428571429
2020-12-24T00:00:00,44.142857142857146,67.85714285714286,111.14285714285714,113.57142857142857,126.28571428571429,127.57142857142857,90.85714285714286,59.57142857142857,36.714285714285715,6.571428571428571
2020-12-25T00:00:00,45.714285714285715,69.14285714285714,116.0,119.28571428571429,124.14285714285714,127.42857142857143,91.0,62.857142857142854,37.857142857142854,7.285714285714286
2020-12-26T00:00:00,46.857142857142854,77.28571428571429,124.42857142857143,127.28571428571429,130.14285714285714,133.42857142857142,98.0,65.42857142857143,41.0,8.428571428571429
2020-12-27T00:00:00,46.285714285714285,79.57142857142857,124.85714285714286,130.42857142857142,131.57142857142858,135.71428571428572,101.14285714285714,65.42857142857143,41.285714285714285,8.428571428571429
2020-12-28T00:00:00,45.857142857142854,79.85714285714286,124.14285714285714,131.85714285714286,133.28571428571428,138.57142857142858,100.42857142857143,66.14285714285714,41.142857142857146,8.714285714285714
2020-12-29T00:00:00,51.142857142857146,87.71428571428571,136.71428571428572,146.85714285714286,146.57142857142858,154.42857142857142,112.71428571428571,72.0,43.42857142857143,9.0
2020-12-30T00:00:00,51.0,85.57142857142857,131.57142857142858,146.14285714285714,143.14285714285714,150.85714285714286,111.71428571428571,72.0,40.714285714285715,8.142857142857142
2020-12-31T00:00:00,52.57142857142857,89.0,136.85714285714286,146.57142857142858,140.85714285714286,151.42857142857142,112.85714285714286,73.71428571428571,41.285714285714285,8.571428571428571
2021-01-01T00:00:00,50.57142857142857,91.57142857142857,130.71428571428572,143.71428571428572,144.0,151.42857142857142,110.57142857142857,71.0,38.857142857142854,8.714285714285714
2021-01-02T00:00:00,46.0,85.42857142857143,115.0,123.85714285714286,124.85714285714286,136.71428571428572,98.0,63.0,33.42857142857143,7.0
2021-01-03T00:00:00,50.0,89.14285714285714,129.71428571428572,138.0,137.14285714285714,148.28571428571428,107.71428571428571,70.57142857142857,38.42857142857143,8.428571428571429
2021-01-04T00:00:00,57.142857142857146,99.71428571428571,152.14285714285714,155.57142857142858,152.57142857142858,167.85714285714286,121.85714285714286,79.85714285714286,43.285714285714285,9.428571428571429
2021-01-05T00:00:00,60.857142857142854,99.71428571428571,154.42857142857142,153.14285714285714,153.71428571428572,168.71428571428572,123.42857142857143,78.71428571428571,43.857142857142854,10.571428571428571
2021-01-06T00:00:00,63.285714285714285,103.71428571428571,155.57142857142858,151.14285714285714,158.57142857142858,166.42857142857142,123.85714285714286,77.85714285714286,45.142857142857146,10.714285714285714
2021-01-07T00:00:00,59.285714285714285,102.85714285714286,150.14285714285714,139.42857142857142,151.28571428571428,163.28571428571428,123.28571428571429,80.28571428571429,45.857142857142854,11.857142857142858
2021-01-08T00:00:00,61.42857142857143,108.14285714285714,153.14285714285714,134.42857142857142,146.42857142857142,157.57142857142858,119.85714285714286,80.71428571428571,47.857142857142854,11.857142857142858
2021-01-09T00:00:00,67.0,113.71428571428571,158.85714285714286,147.71428571428572,157.85714285714286,167.0,126.71428571428571,85.42857142857143,50.57142857142857,12.571428571428571
2021-01-10T00:00:00,67.71428571428571,114.28571428571429,149.71428571428572,138.85714285714286,157.28571428571428,163.0,124.28571428571429,79.71428571428571,47.857142857142854,11.714285714285714
2021-01-11T00:00:00,68.0,113.42857142857143,142.28571428571428,134.85714285714286,151.57142857142858,157.57142857142858,120.85714285714286,77.14285714285714,45.285714285714285,11.142857142857142
2021-01-12T00:00:00,64.14285714285714,110.57142857142857,135.71428571428572,129.42857142857142,145.42857142857142,148.57142857142858,114.57142857142857,75.42857142857143,45.142857142857146,9.571428571428571
2021-01-13T00:00:00,61.142857142857146,105.42857142857143,134.71428571428572,127.0,140.71428571428572,147.14285714285714,111.71428571428571,73.14285714285714,43.714285714285715,9.285714285714286
2021-01-14T00:00:00,64.14285714285714,104.42857142857143,129.57142857142858,128.42857142857142,141.0,144.14285714285714,104.42857142857143,68.28571428571429,40.57142857142857,7.285714285714286
2021-01-15T00:00:00,66.0,98.14285714285714,126.57142857142857,124.42857142857143,140.14285714285714,144.57142857142858,102.42857142857143,63.285714285714285,39.142857142857146,8.0
2021-01-16T00:00:00,66.0,96.42857142857143,124.57142857142857,117.85714285714286,138.42857142857142,141.57142857142858,101.57142857142857,64.57142857142857,39.0,7.714285714285714
2021-01-17T00:00:00,64.14285714285714,94.85714285714286,121.85714285714286,116.14285714285714,131.85714285714286,139.57142857142858,96.42857142857143,64.0,38.857142857142854,7.714285714285714
2021-01-18T00:00:00,68.28571428571429,95.14285714285714,120.57142857142857,113.28571428571429,140.57142857142858,142.57142857142858,95.85714285714286,65.57142857142857,43.57142857142857,9.714285714285714
2021-01-19T00:00:00,71.71428571428571,97.57142857142857,122.0,120.14285714285714,143.71428571428572,150.28571428571428,97.71428571428571,66.0,41.57142857142857,9.428571428571429
2021-01-20T00:00:00,73.0,98.14285714285714,121.42857142857143,119.71428571428571,144.42857142857142,149.71428571428572,97.57142857142857,65.28571428571429,41.285714285714285,8.857142857142858
2021-01-21T00:00:00,79.85714285714286,98.14285714285714,127.14285714285714,126.42857142857143,151.28571428571428,153.85714285714286,101.85714285714286,67.42857142857143,39.714285714285715,8.857142857142858
