data,ricoveri,abruzzo,basilicata,calabria,campania,emilia_romagna,friuli_venezia_giulia,lazio,liguria,lombardia,marche,molise,piemonte,puglia,sardegna,sicilia,toscana,umbria,valle_daosta,veneto,pa_bolzano,pa_trento
2020-02-20T00:00:00,90,,,,,5,,1,1,67,4,,1,3,1,,,,,7,,
2020-02-21T00:00:00,123,,,,,10,1,2,2,95,1,,1,2,0,1,,,,8,,
2020-02-22T00:00:00,108,1,,,1,3,0,0,2,93,1,,3,0,0,0,,,,4,,
2020-02-23T00:00:00,151,2,,,1,7,1,1,2,117,1,,4,2,0,0,,,,12,1,
2020-02-24T00:00:00,191,2,,,0,17,1,5,6,131,4,,0,1,1,1,2,,,16,4,
2020-02-25T00:00:00,266,2,,,2,21,3,5,6,206,4,,0,4,1,1,2,,,9,0,
2020-02-26T00:00:00,274,3,,,0,35,0,5,9,204,3,,2,2,1,1,0,,1,7,1,
2020-02-27T00:00:00,317,0,,,1,38,1,4,8,228,9,,4,2,1,0,1,,1,17,2,
2020-02-28T00:00:00,378,7,,,0,39,0,10,6,280,14,,3,2,2,0,2,,0,13,0,
2020-02-29T00:00:00,373,6,,,1,56,0,7,10,263,8,,4,3,0,0,2,,0,12,1,
2020-03-01T00:00:00,438,4,,2,6,49,3,4,11,312,7,,4,5,2,2,0,,0,22,3,2
2020-03-02T00:00:00,663,3,,1,0,77,7,12,14,478,22,,6,5,3,3,5,1,0,26,0,0
2020-03-03T00:00:00,809,2,,0,8,102,7,11,20,555,17,1,21,6,2,1,10,1,1,42,1,1
2020-03-04T00:00:00,903,6,,1,7,110,7,14,19,643,21,1,17,6,4,3,9,1,3,25,5,1
2020-03-05T00:00:00,1082,3,,0,1,139,7,22,29,768,14,4,20,10,2,2,7,2,0,43,7,2
2020-03-06T00:00:00,1193,4,2,2,6,141,10,24,32,844,24,0,17,9,3,4,13,0,2,48,6,2
2020-03-07T00:00:00,1175,12,0,2,7,144,10,32,32,770,37,1,23,8,4,6,19,2,3,57,3,3
2020-03-08T00:00:00,1133,10,0,4,3,139,10,14,34,750,41,0,20,8,4,5,29,4,1,49,6,2
2020-03-09T00:00:00,1424,18,0,2,4,182,10,25,37,934,53,1,17,12,3,7,17,5,2,70,19,6
2020-03-10T00:00:00,1555,13,0,3,12,200,10,33,58,1006,56,0,20,17,2,6,23,4,2,72,8,10
2020-03-11T00:00:00,1707,21,1,3,6,202,15,41,51,1089,68,1,24,15,1,10,32,4,6,88,13,16
2020-03-12T00:00:00,1856,15,0,6,21,232,18,37,78,1131,57,1,40,35,4,8,35,7,6,99,13,13
2020-03-13T00:00:00,2266,24,0,8,18,295,24,45,94,1350,66,0,55,35,7,15,64,12,6,110,20,18
2020-03-14T00:00:00,1975,26,0,11,15,269,19,36,75,1154,76,0,29,30,14,25,65,4,11,94,8,14
2020-03-15T00:00:00,1898,28,1,5,26,259,27,34,86,1064,53,0,39,27,3,18,64,13,8,109,18,16
2020-03-16T00:00:00,2486,38,0,7,30,273,16,47,136,1461,75,4,57,32,6,18,78,12,9,150,20,17
2020-03-17T00:00:00,2662,51,1,6,28,330,29,47,135,1470,77,2,76,37,5,31,72,19,17,177,31,21
2020-03-18T00:00:00,2700,36,1,14,33,327,39,60,133,1459,70,11,59,54,10,38,85,21,9,173,19,49
2020-03-19T00:00:00,2782,29,0,21,33,400,48,90,152,1389,97,4,56,41,18,37,97,19,12,173,29,37
2020-03-20T00:00:00,2844,40,1,6,27,391,39,87,204,1372,91,8,70,48,9,42,115,18,12,192,25,47
2020-03-21T00:00:00,2543,35,0,13,31,355,20,107,157,1160,97,2,78,50,8,46,106,9,12,188,20,49
2020-03-22T00:00:00,2184,35,0,6,26,315,19,70,128,1044,62,1,72,47,10,59,82,16,7,131,18,36
2020-03-23T00:00:00,2711,37,2,13,33,317,35,99,144,1309,100,3,105,48,9,61,109,11,9,195,37,35
2020-03-24T00:00:00,2621,40,1,5,31,328,30,109,129,1251,85,0,79,71,8,47,93,24,14,200,23,53
2020-03-25T00:00:00,2328,34,0,6,43,299,23,86,144,1119,65,2,86,41,4,37,100,15,13,155,23,33
2020-03-26T00:00:00,2126,34,0,6,28,263,25,77,103,1039,61,3,77,59,4,53,84,14,10,141,23,22
2020-03-27T00:00:00,2252,36,1,19,40,306,28,75,87,1083,57,2,82,42,11,49,80,18,8,158,22,48
2020-03-28T00:00:00,1751,28,1,6,38,240,20,74,91,814,58,1,35,47,6,21,73,15,8,121,12,42
2020-03-29T00:00:00,1437,16,0,9,15,191,6,63,100,682,52,0,34,41,12,14,56,5,6,90,13,32
2020-03-30T00:00:00,1695,13,0,12,35,203,12,69,102,823,54,3,63,40,6,21,69,6,11,121,14,18
2020-03-31T00:00:00,1608,22,0,15,26,187,19,62,111,770,38,5,79,49,11,21,53,5,6,95,9,25
2020-04-01T00:00:00,1535,24,0,18,33,175,16,50,75,740,34,1,94,39,6,22,61,6,9,97,14,21
