data,positivi,abruzzo,basilicata,calabria,campania,emilia_romagna,friuli_venezia_giulia,lazio,liguria,lombardia,marche,molise,piemonte,puglia,sardegna,sicilia,toscana,umbria,valle_daosta,veneto,pa_bolzano,pa_trento
2020-01-29T00:00:00,1,,,,,,,1,,,,,,,,,,,,,,
2020-01-30T00:00:00,0,,,,,,,0,,,,,,,,,,,,,,
2020-01-31T00:00:00,0,,,,,,,0,,,,,,,,,,,,,,
2020-02-01T00:00:00,0,,,,,,,0,,,,,,,,,,,,,,
2020-02-02T00:00:00,0,,,,,,,0,,,,,,,,,,,,,,
2020-02-03T00:00:00,0,,,,,,,0,,,,,,,,,,,,,,
2020-02-04T00:00:00,0,,,,,,,0,,,,,,,,,,,,,,
2020-02-05T00:00:00,0,,,,,,,0,,,,,,,,,,,,,,
2020-02-06T00:00:00,1,,,,,,,1,,,,,,,,,,,,,,
2020-02-07T00:00:00,0,,,,,,,0,,,,,,,,,,,,,,
2020-02-08T00:00:00,0,,,,,,,0,,,,,,,,,,,,,,
2020-02-09T00:00:00,0,,,,,,,0,,,,,,,,,,,,,,
2020-02-10T00:00:00,0,,,,,,,0,,,,,,,,,,,,,,
2020-02-11T00:00:00,0,,,,,,,0,,,,,,,,,,,,,,
2020-02-12T00:00:00,0,,,,,,,0,,,,,,,,,,,,,,
2020-02-13T00:00:00,0,,,,,,,0,,,,,,,,,,,,,,
2020-02-14T00:00:00,0,,,,,,,0,,,,,,,,,,,,,,
2020-02-15T00:00:00,0,,,,,,,0,,,,,,,,,,,,,,
2020-02-16T00:00:00,0,,,,,,,0,,,,,,,,,,,,,,
2020-02-17T00:00:00,0,,,,,,,0,,,,,,,,,,,,,,
2020-02-18T00:00:00,0,,,,,,,0,,,,,,,,,,,,,,
2020-02-19T00:00:00,0,,,,,,,0,,,,,,,,,,,,,,
2020-02-20T00:00:00,4,,,,,,,0,,2,,,1,,,,,,,1,,
2020-02-21T00:00:00,36,,,,,1,,0,,31,,,0,,,,,,,4,,
2020-02-22T00:00:00,56,,,,,7,,0,,31,,,2,,,,,,,16,,
2020-02-23T00:00:00,75,,,,,10,,0,,46,,,2,,,,,,1,16,,
2020-02-24T00:00:00,85,1,,,,6,,0,1,60,,,1,,,3,2,,0,10,1,
2020-02-25T00:00:00,193,0,,,1,40,,1,1,95,1,,1,,,0,2,,0,51,0,
2020-02-26T00:00:00,274,0,,,3,88,,0,15,116,3,,3,1,,2,2,,0,41,0,
2020-02-27T00:00:00,284,0,,1,1,41,1,1,1,147,3,,11,2,,1,2,1,0,71,0,
2020-02-28T00:00:00,334,1,,0,12,43,0,2,7,203,10,,14,0,,2,2,0,0,38,0,
2020-02-29T00:00:00,366,3,,1,4,49,5,0,2,246,13,,6,0,,0,1,0,0,36,0,
2020-03-01T00:00:00,405,0,,0,6,52,7,10,5,280,15,,3,2,1,1,1,0,0,22,0,
2020-03-02T00:00:00,622,1,,0,6,95,4,10,2,395,28,2,7,5,0,6,8,6,0,45,0,2
2020-03-03T00:00:00,792,1,1,0,3,165,6,13,2,475,28,1,19,5,1,3,17,0,0,48,0,4
2020-03-04T00:00:00,1065,1,0,3,9,149,10,38,5,627,42,4,32,2,2,4,20,4,6,105,0,2
