data,ricoveri,abruzzo,basilicata,calabria,campania,emilia_romagna,friuli_venezia_giulia,lazio,liguria,lombardia,marche,molise,piemonte,puglia,sardegna,sicilia,toscana,umbria,valle_daosta,veneto,pa_bolzano,pa_trento
2020-02-20T00:00:00,92,,,,,5,,1,1,67,4,,2,3,1,,,,,7,1,
2020-02-21T00:00:00,121,,,,,9,1,2,2,94,1,,1,2,0,1,,,,8,0,
2020-02-22T00:00:00,106,1,,,1,3,0,0,2,94,1,,0,0,0,0,,,,4,0,
2020-02-23T00:00:00,152,2,,,1,8,1,1,2,115,1,,6,2,0,0,,,,12,1,
2020-02-24T00:00:00,191,2,,,0,17,1,5,5,130,4,,2,1,1,1,2,,,16,4,
2020-02-25T00:00:00,268,2,,,2,24,3,5,6,205,4,,0,4,1,1,2,,,9,0,
2020-02-26T00:00:00,276,4,,,0,38,0,5,9,201,3,,4,2,1,1,0,,1,7,0,
2020-02-27T00:00:00,319,0,,,1,39,1,4,8,226,9,,5,3,1,0,1,,1,17,3,
2020-02-28T00:00:00,379,7,,,0,41,0,10,7,278,14,,3,2,2,0,2,,0,13,0,
2020-02-29T00:00:00,373,6,,,1,56,0,7,11,261,8,,5,3,0,0,2,,0,12,1,
2020-03-01T00:00:00,444,4,,2,6,54,3,4,11,312,7,,5,5,2,2,0,,0,22,3,2
2020-03-02T00:00:00,665,3,,1,0,76,7,12,15,476,23,,9,5,3,3,5,1,0,26,0,0
2020-03-03T00:00:00,818,2,,0,8,107,7,12,20,550,17,1,26,6,2,3,10,1,1,42,2,1
2020-03-04T00:00:00,915,6,,1,10,109,7,16,19,642,21,1,25,5,4,3,9,1,3,27,5,1
2020-03-05T00:00:00,1090,3,,0,4,136,7,22,29,766,14,4,31,10,2,2,7,2,0,42,7,2
2020-03-06T00:00:00,1233,4,2,2,11,153,10,23,32,844,24,0,40,9,3,4,14,0,2,48,6,2
2020-03-07T00:00:00,1205,12,0,2,8,151,10,32,32,765,39,1,49,7,4,6,19,2,3,57,3,3
2020-03-08T00:00:00,1160,10,0,4,5,139,10,14,34,750,41,0,43,8,4,6,29,4,1,49,7,2
